,depth,table,x,y,z,price,carat,cut,color,clarity,city
11526,61.5,61.0,6.35,6.43,3.93,4258,1.0,Good,E,SI2,Antwerp
11527,63.2,58.0,4.68,4.72,2.97,638,0.41,Good,E,SI2,Antwerp
11528,61.4,59.0,5.94,6.01,3.67,2542,0.8,Good,E,SI2,Antwerp
11529,61.6,61.0,6.12,6.16,3.78,3595,0.9,Good,E,SI2,Antwerp
11530,57.9,59.0,6.65,6.51,3.8,3752,1.0,Good,E,SI2,Antwerp
11531,63.9,58.0,6.31,6.37,4.05,3546,1.01,Good,E,SI2,Antwerp
11532,58.2,59.0,5.24,5.27,3.06,1098,0.5,Good,E,SI2,Antwerp
11533,63.9,55.0,6.38,6.33,4.08,4440,1.01,Good,E,SI2,Antwerp
11534,63.9,57.0,4.65,4.71,2.99,622,0.4,Good,E,SI2,Antwerp
11535,63.7,58.0,6.36,6.32,4.04,4751,1.01,Good,E,SI2,Antwerp
11536,59.9,61.0,6.16,6.2,3.7,3660,0.9,Good,E,SI2,Antwerp
11537,62.3,58.0,5.78,5.81,3.61,2702,0.75,Good,E,SI2,Antwerp
11538,61.0,64.0,5.63,5.69,3.45,2116,0.7,Good,E,SI2,Antwerp
11539,63.4,57.0,4.77,4.82,3.04,669,0.43,Good,E,SI2,Antwerp
11540,58.7,63.0,6.52,6.6,3.85,4685,1.01,Good,E,SI2,Antwerp
11541,60.9,62.0,7.46,7.57,4.58,10793,1.61,Good,E,SI2,Antwerp
11542,63.9,57.0,4.71,4.65,2.99,798,0.4,Good,E,SI2,Antwerp
11543,61.3,61.0,6.13,6.17,3.77,3895,0.9,Good,E,SI2,Antwerp
11544,63.7,54.0,4.52,4.55,2.89,505,0.36,Good,E,SI2,Antwerp
11545,58.8,59.0,5.95,5.99,3.51,2680,0.76,Good,E,SI2,Antwerp
11546,63.7,55.0,5.08,5.03,3.22,1181,0.5,Good,E,SI2,Antwerp
11547,63.2,61.0,5.02,5.05,3.18,1000,0.5,Good,E,SI2,Antwerp
11548,62.7,57.0,6.84,6.81,4.28,6343,1.22,Ideal,E,SI2,Antwerp
11549,60.9,57.0,5.8,5.83,3.54,2559,0.73,Ideal,E,SI2,Antwerp
11550,62.3,55.0,7.44,7.37,4.61,6901,1.55,Ideal,E,SI2,Antwerp
11551,60.8,56.0,6.25,6.29,3.81,3968,0.91,Ideal,E,SI2,Antwerp
11552,62.6,57.0,6.13,6.2,3.86,3808,0.9,Ideal,E,SI2,Antwerp
11553,62.3,56.0,8.04,7.94,4.98,12210,2.0,Ideal,E,SI2,Antwerp
11554,61.8,56.0,6.19,6.27,3.85,4160,0.91,Ideal,E,SI2,Antwerp
11555,61.9,56.0,5.73,5.76,3.56,2458,0.71,Ideal,E,SI2,Antwerp
11556,60.8,56.0,6.29,6.25,3.81,3898,0.91,Ideal,E,SI2,Antwerp
11557,62.7,57.0,6.35,6.44,4.01,4585,1.02,Ideal,E,SI2,Antwerp
11558,61.9,56.0,7.31,7.36,4.54,10588,1.51,Ideal,E,SI2,Antwerp
11559,61.9,55.0,5.61,5.64,3.48,1560,0.66,Ideal,E,SI2,Antwerp
11560,61.9,55.0,5.32,5.34,3.3,1296,0.56,Ideal,E,SI2,Antwerp
11561,61.5,55.0,5.82,5.86,3.59,2896,0.73,Ideal,E,SI2,Antwerp
11562,61.5,55.0,5.88,5.93,3.63,2680,0.76,Ideal,E,SI2,Antwerp
11563,62.5,56.0,6.16,6.19,3.86,3774,0.91,Ideal,E,SI2,Antwerp
11564,61.9,57.0,7.69,7.65,4.75,11816,1.71,Ideal,E,SI2,Antwerp
11565,62.6,56.0,6.69,6.63,4.17,5005,1.14,Ideal,E,SI2,Antwerp
11566,61.4,57.0,5.09,5.14,3.14,1154,0.5,Ideal,E,SI2,Antwerp
11567,60.9,57.0,5.21,5.23,3.18,1223,0.53,Ideal,E,SI2,Antwerp
11568,61.4,56.0,7.44,7.52,4.59,10362,1.57,Ideal,E,SI2,Antwerp
11569,62.5,57.0,5.04,5.07,3.16,1154,0.5,Ideal,E,SI2,Antwerp
11570,61.6,56.0,6.55,6.48,3.99,4547,1.02,Ideal,E,SI2,Antwerp
11571,62.5,56.0,6.48,6.45,4.04,4522,1.03,Ideal,E,SI2,Antwerp
11572,61.4,56.0,5.21,5.25,3.21,1438,0.53,Ideal,E,SI2,Antwerp
11573,62.2,57.0,6.2,6.24,3.87,3800,0.91,Ideal,E,SI2,Antwerp
11574,62.9,56.0,6.32,6.3,3.97,3450,1.0,Ideal,E,SI2,Antwerp
11575,62.0,55.0,6.0,5.96,3.71,2559,0.81,Ideal,E,SI2,Antwerp
11576,61.0,57.0,6.06,6.13,3.72,3143,0.83,Ideal,E,SI2,Antwerp
11577,60.1,57.0,4.44,4.41,2.66,558,0.31,Ideal,E,SI2,Antwerp
11578,60.3,57.0,6.53,6.5,3.95,4798,1.02,Ideal,E,SI2,Antwerp
11579,61.6,56.0,7.54,7.62,4.67,9961,1.61,Ideal,E,SI2,Antwerp
11580,62.1,57.0,8.0,7.88,4.93,13387,2.01,Ideal,E,SI2,Antwerp
11581,59.0,57.0,6.65,6.6,3.91,3588,1.04,Ideal,E,SI2,Antwerp
11582,58.3,62.0,5.2,5.19,3.04,1268,0.51,Ideal,E,SI2,Antwerp
11583,62.1,56.0,5.18,5.22,3.23,1163,0.54,Ideal,E,SI2,Antwerp
11584,62.9,57.0,7.29,7.23,4.57,9513,1.51,Ideal,E,SI2,Antwerp
11585,59.2,55.0,7.05,7.03,4.17,5444,1.24,Ideal,E,SI2,Antwerp
11586,62.0,56.0,6.46,6.42,3.99,4694,1.01,Ideal,E,SI2,Antwerp
11587,62.4,57.0,5.71,5.74,3.57,2939,0.72,Ideal,E,SI2,Antwerp
11588,60.3,57.0,6.5,6.53,3.95,4712,1.02,Ideal,E,SI2,Antwerp
11589,61.4,56.0,6.5,6.56,4.01,4804,1.04,Ideal,E,SI2,Antwerp
11590,61.4,56.0,4.51,4.55,2.78,491,0.35,Ideal,E,SI2,Antwerp
11591,61.4,56.0,4.55,4.51,2.78,630,0.35,Ideal,E,SI2,Antwerp
11592,62.5,55.0,6.77,6.84,4.25,5964,1.2,Ideal,E,SI2,Antwerp
11593,61.2,54.0,6.49,6.52,3.98,4666,1.01,Ideal,E,SI2,Antwerp
11594,62.7,56.0,5.29,5.34,3.33,1234,0.58,Ideal,E,SI2,Antwerp
11595,60.3,58.0,5.72,5.78,3.47,1821,0.71,Premium,I,SI2,Antwerp
11596,61.3,55.0,6.66,6.62,4.07,4120,1.09,Premium,I,SI2,Antwerp
11597,58.2,60.0,6.61,6.55,3.83,2795,1.0,Premium,I,SI2,Antwerp
11598,61.2,61.0,6.69,6.65,4.08,4028,1.11,Premium,I,SI2,Antwerp
11599,61.8,58.0,8.22,8.11,5.05,14803,2.06,Premium,I,SI2,Antwerp
11600,59.9,61.0,6.89,6.85,4.11,4337,1.21,Premium,I,SI2,Antwerp
11601,63.0,59.0,8.22,8.19,5.17,15238,2.2,Premium,I,SI2,Antwerp
11602,59.5,59.0,6.95,6.89,4.12,4498,1.19,Premium,I,SI2,Antwerp
11603,59.9,58.0,6.94,6.91,4.15,4879,1.21,Premium,I,SI2,Antwerp
11604,61.3,58.0,7.39,7.32,4.51,7086,1.48,Premium,I,SI2,Antwerp
11605,62.6,55.0,6.43,6.38,4.01,3818,1.01,Premium,I,SI2,Antwerp
11606,62.4,58.0,6.86,6.82,4.27,5269,1.23,Premium,I,SI2,Antwerp
11607,61.7,58.0,6.79,6.75,4.18,4639,1.18,Premium,I,SI2,Antwerp
11608,59.8,59.0,4.94,4.9,2.94,726,0.43,Premium,I,SI2,Antwerp
11609,59.0,60.0,7.86,7.83,4.63,8366,1.71,Premium,I,SI2,Antwerp
11610,62.9,59.0,7.14,7.08,4.47,6751,1.41,Premium,I,SI2,Antwerp
11611,61.8,60.0,6.86,6.76,4.21,4391,1.21,Premium,I,SI2,Antwerp
11612,62.7,57.0,6.77,6.69,4.22,4423,1.17,Premium,I,SI2,Antwerp
11613,59.1,59.0,7.2,7.15,4.24,5744,1.31,Premium,I,SI2,Antwerp
11614,62.5,59.0,8.36,8.28,5.2,16097,2.24,Premium,I,SI2,Antwerp
11615,60.6,60.0,8.29,8.33,5.04,12612,2.1,Very Good,I,SI2,Antwerp
11616,62.8,56.0,8.1,8.12,5.09,14071,2.05,Very Good,I,SI2,Antwerp
11617,63.7,57.0,5.64,5.67,3.6,1875,0.71,Very Good,I,SI2,Antwerp
11618,61.2,56.0,5.12,5.14,3.14,956,0.51,Very Good,I,SI2,Antwerp
11619,63.4,57.0,6.37,6.4,4.05,3769,1.02,Very Good,I,SI2,Antwerp
11620,60.8,56.0,5.89,5.92,3.59,2159,0.77,Very Good,I,SI2,Antwerp
11621,61.8,58.0,5.65,5.71,3.51,1977,0.7,Very Good,I,SI2,Antwerp
11622,63.4,59.0,5.66,5.57,3.56,1775,0.7,Very Good,I,SI2,Antwerp
11623,60.1,61.0,7.41,7.46,4.47,7589,1.54,Very Good,I,SI2,Antwerp
11624,61.9,60.0,8.12,8.06,5.01,14715,2.02,Very Good,I,SI2,Antwerp
11625,61.2,59.0,6.69,6.74,4.11,4533,1.12,Very Good,I,SI2,Antwerp
11626,62.0,57.0,7.7,7.74,4.78,9898,1.76,Very Good,I,SI2,Antwerp
11627,63.1,59.0,7.24,7.15,4.54,7150,1.5,Very Good,I,SI2,Antwerp
11628,62.5,58.0,6.59,6.65,4.14,4442,1.11,Very Good,I,SI2,Antwerp
11629,62.6,55.0,6.65,6.71,4.18,4168,1.11,Very Good,I,SI2,Antwerp
11630,63.1,56.0,7.98,7.84,5.0,9435,2.0,Very Good,I,SI2,Antwerp
11631,61.5,57.0,6.16,6.19,3.8,3503,0.9,Very Good,I,SI2,Antwerp
11632,59.8,56.0,8.32,8.41,5.0,12839,2.05,Very Good,I,SI2,Antwerp
11633,62.0,56.0,6.79,6.86,4.23,5111,1.21,Very Good,I,SI2,Antwerp
11634,59.8,62.0,7.41,7.47,4.45,7866,1.52,Very Good,I,SI2,Antwerp
11635,66.2,57.0,6.34,6.26,4.17,3290,1.02,Fair,I,SI2,Antwerp
11636,65.0,56.0,7.22,7.14,4.67,6375,1.54,Fair,I,SI2,Antwerp
11637,61.3,67.0,5.77,5.64,3.51,1892,0.73,Fair,I,SI2,Antwerp
11638,64.8,57.0,6.73,6.69,4.35,4551,1.26,Fair,I,SI2,Antwerp
11639,64.8,59.0,8.93,8.73,5.72,16970,3.0,Fair,I,SI2,Antwerp
11640,66.0,57.0,7.14,7.0,4.7,6156,1.51,Fair,I,SI2,Antwerp
11641,57.1,62.0,6.66,6.58,3.78,3342,1.02,Good,I,SI2,Antwerp
11642,63.4,59.0,5.66,5.57,3.56,1699,0.7,Good,I,SI2,Antwerp
11643,60.1,64.0,7.82,7.71,4.67,8731,1.74,Good,I,SI2,Antwerp
11644,60.9,63.0,6.13,6.21,3.76,2680,0.9,Good,I,SI2,Antwerp
11645,64.2,63.0,8.66,8.57,5.53,13784,2.61,Good,I,SI2,Antwerp
11646,63.3,55.8,6.83,6.87,4.34,5197,1.25,Good,I,SI2,Antwerp
11647,63.8,57.0,6.13,6.23,3.94,2956,0.95,Good,I,SI2,Antwerp
11648,63.7,57.0,8.23,8.19,5.23,11522,2.19,Good,I,SI2,Antwerp
11649,61.9,55.0,6.45,6.38,3.97,3733,1.01,Ideal,I,SI2,Antwerp
11650,62.8,58.0,6.37,6.41,4.01,4189,1.02,Ideal,I,SI2,Antwerp
11651,63.3,54.0,8.09,8.14,5.13,14505,2.06,Ideal,I,SI2,Antwerp
11652,62.0,54.0,5.19,5.23,3.23,973,0.53,Ideal,I,SI2,Antwerp
11653,62.0,56.0,7.0,6.94,4.32,5363,1.26,Ideal,I,SI2,Antwerp
11654,62.0,54.0,4.31,4.34,2.68,348,0.3,Ideal,I,SI2,Antwerp
11655,61.0,56.0,4.43,4.45,2.71,391,0.32,Ideal,I,SI2,Antwerp
11656,60.9,57.0,5.26,5.31,3.22,935,0.54,Ideal,I,SI2,Antwerp
11657,61.5,54.0,8.22,8.2,5.05,14061,2.03,Ideal,I,SI2,Antwerp
11658,61.9,56.0,8.22,8.26,5.1,14321,2.14,Ideal,I,SI2,Antwerp
11659,62.5,57.0,6.89,6.84,4.29,3312,1.24,Ideal,I,SI2,Antwerp
11660,61.2,55.0,7.76,7.79,4.76,9540,1.76,Ideal,I,SI2,Antwerp
11661,63.0,54.0,8.36,8.39,5.28,15710,2.27,Ideal,I,SI2,Antwerp
11662,61.6,57.0,7.56,7.51,4.64,7978,1.59,Ideal,I,SI2,Antwerp
11663,61.9,55.0,5.17,5.23,3.22,1125,0.52,Ideal,I,SI2,Antwerp
11664,61.8,57.0,7.43,7.36,4.57,7577,1.51,Ideal,I,SI2,Antwerp
11665,62.3,57.0,6.56,6.61,4.1,4130,1.08,Ideal,I,SI2,Antwerp
11666,61.9,56.0,6.51,6.45,4.02,3553,1.04,Ideal,I,SI2,Antwerp
11667,62.6,54.0,6.35,6.39,3.99,3873,0.98,Ideal,I,SI2,Antwerp
11668,61.9,55.0,5.43,5.46,3.37,1182,0.6,Ideal,I,SI2,Antwerp
11669,61.3,57.0,6.78,6.71,4.13,5216,1.15,Ideal,I,SI2,Antwerp
11670,63.8,58.0,8.41,8.37,5.35,17039,2.4,Ideal,I,SI2,Antwerp
11671,61.2,56.0,6.33,6.37,3.89,3918,0.95,Ideal,I,SI2,Antwerp
11672,62.3,59.0,6.39,6.45,4.0,4162,1.03,Ideal,I,SI2,Antwerp
11673,60.3,59.0,7.43,7.46,4.49,8092,1.54,Ideal,I,SI2,Antwerp
11674,62.4,57.0,6.69,6.62,4.15,3688,1.12,Ideal,I,SI2,Antwerp
11675,62.1,54.0,4.56,4.58,2.84,439,0.36,Ideal,I,SI2,Antwerp
11676,62.5,59.0,6.88,6.95,4.32,5719,1.28,Ideal,I,SI2,Antwerp
11677,64.6,56.0,6.67,6.62,4.29,4879,1.21,Ideal,I,SI2,Antwerp
11678,62.0,57.0,6.85,6.92,4.27,5259,1.25,Ideal,I,SI2,Antwerp
11679,60.9,55.0,8.0,8.06,4.89,12165,1.9,Ideal,I,SI2,Antwerp
11680,61.3,59.0,7.42,7.39,4.54,8062,1.53,Ideal,I,SI2,Antwerp
11681,62.5,55.0,8.12,8.08,5.06,13777,2.01,Ideal,I,SI2,Antwerp
11682,60.8,58.0,4.61,4.57,2.79,608,0.36,Premium,G,SI2,Antwerp
11683,63.0,60.0,6.39,6.35,4.01,3824,1.03,Premium,G,SI2,Antwerp
11684,61.4,59.0,5.21,5.24,3.21,1090,0.54,Premium,G,SI2,Antwerp
11685,59.6,60.0,7.24,7.18,4.3,6495,1.37,Premium,G,SI2,Antwerp
11686,60.4,58.0,6.25,6.3,3.79,3445,0.9,Premium,G,SI2,Antwerp
11687,62.3,59.0,6.2,6.15,3.85,3318,0.92,Premium,G,SI2,Antwerp
11688,61.4,56.0,5.99,5.96,3.67,2451,0.8,Premium,G,SI2,Antwerp
11689,61.3,59.0,7.49,7.43,4.57,8799,1.53,Premium,G,SI2,Antwerp
11690,62.6,58.0,5.09,5.03,3.17,1121,0.5,Premium,G,SI2,Antwerp
11691,62.9,59.0,6.57,6.53,4.12,4627,1.08,Premium,G,SI2,Antwerp
11692,61.7,55.0,7.39,7.32,4.54,5460,1.5,Premium,G,SI2,Antwerp
11693,62.1,55.0,5.96,5.9,3.68,2484,0.8,Premium,G,SI2,Antwerp
11694,62.4,59.0,6.39,6.34,3.97,4327,1.01,Premium,G,SI2,Antwerp
11695,62.5,59.0,6.5,6.47,4.05,3296,1.07,Premium,G,SI2,Antwerp
11696,62.0,59.0,5.1,5.03,3.14,1031,0.5,Premium,G,SI2,Antwerp
11697,60.1,60.0,8.25,8.18,4.94,17403,2.01,Premium,G,SI2,Antwerp
11698,62.0,55.0,5.77,5.71,3.56,2362,0.71,Premium,G,SI2,Antwerp
11699,61.8,58.0,6.39,6.36,3.94,4038,1.01,Premium,G,SI2,Antwerp
11700,58.5,60.0,5.85,5.81,3.41,2268,0.7,Premium,G,SI2,Antwerp
11701,60.4,59.0,8.32,8.38,5.04,17513,2.14,Premium,G,SI2,Antwerp
11702,61.4,56.0,5.27,5.18,3.2,1235,0.52,Premium,G,SI2,Antwerp
11703,60.7,57.0,6.72,6.62,4.06,4047,1.09,Premium,G,SI2,Antwerp
11704,58.4,59.0,7.32,7.28,4.26,6400,1.35,Premium,G,SI2,Antwerp
11705,62.4,55.0,6.17,6.13,3.84,3478,0.9,Premium,G,SI2,Antwerp
11706,62.6,58.0,4.4,4.42,2.76,434,0.33,Premium,G,SI2,Antwerp
11707,61.3,57.0,6.37,6.32,3.89,4101,0.97,Premium,G,SI2,Antwerp
11708,59.8,61.0,8.26,8.22,4.93,15949,2.06,Premium,G,SI2,Antwerp
11709,60.9,57.0,7.5,7.44,4.55,8299,1.52,Premium,G,SI2,Antwerp
11710,59.3,61.0,6.66,6.61,3.94,3701,1.08,Premium,G,SI2,Antwerp
11711,59.5,55.0,6.59,6.53,3.9,4355,1.01,Premium,G,SI2,Antwerp
11712,62.6,56.0,8.2,8.16,5.12,15175,2.1,Premium,G,SI2,Antwerp
11713,62.0,60.0,7.16,7.1,4.42,7357,1.4,Premium,G,SI2,Antwerp
11714,62.9,60.0,6.35,6.3,3.98,4227,1.0,Premium,G,SI2,Antwerp
11715,59.9,60.0,6.56,6.5,3.91,4413,1.03,Premium,G,SI2,Antwerp
11716,59.5,61.0,6.33,6.28,3.75,3326,0.9,Premium,G,SI2,Antwerp
11717,62.3,58.1,6.41,6.38,4.0,3822,1.02,Premium,G,SI2,Antwerp
11718,60.5,58.0,6.55,6.47,3.94,4327,1.01,Premium,G,SI2,Antwerp
11719,62.7,58.0,4.39,4.35,2.74,540,0.32,Premium,G,SI2,Antwerp
11720,61.8,58.0,7.28,7.22,4.48,7557,1.47,Premium,G,SI2,Antwerp
11721,60.5,62.0,6.44,6.36,3.88,3671,0.95,Premium,G,SI2,Antwerp
11722,62.4,56.0,6.93,6.88,4.32,4353,1.27,Premium,G,SI2,Antwerp
11723,60.6,59.0,6.49,6.41,3.91,3981,1.01,Premium,G,SI2,Antwerp
11724,61.8,61.0,5.66,5.63,3.49,2056,0.7,Premium,G,SI2,Antwerp
11725,59.7,60.0,8.4,8.37,5.01,13317,2.15,Premium,G,SI2,Antwerp
11726,60.1,58.0,8.4,8.35,5.03,12792,2.14,Premium,G,SI2,Antwerp
11727,61.3,58.0,5.75,5.67,3.5,2100,0.7,Premium,G,SI2,Antwerp
11728,60.3,58.0,7.19,7.16,4.33,6685,1.33,Premium,G,SI2,Antwerp
11729,62.5,59.0,5.1,5.07,3.18,1001,0.52,Premium,G,SI2,Antwerp
11730,60.7,59.0,8.37,8.31,5.06,13540,2.14,Premium,G,SI2,Antwerp
11731,61.8,59.0,7.29,7.21,4.48,9072,1.5,Premium,G,SI2,Antwerp
11732,59.9,59.0,5.79,5.82,3.48,1717,0.71,Premium,G,SI2,Antwerp
11733,60.7,60.0,8.13,8.07,4.92,10833,2.0,Premium,G,SI2,Antwerp
11734,58.9,62.0,7.79,7.72,4.57,10091,1.7,Premium,G,SI2,Antwerp
11735,59.1,61.0,5.89,5.85,3.47,1764,0.72,Premium,G,SI2,Antwerp
11736,58.8,59.0,5.97,5.93,3.5,1676,0.76,Premium,G,SI2,Antwerp
11737,62.4,57.0,7.35,7.29,4.57,7695,1.51,Premium,G,SI2,Antwerp
11738,60.3,59.0,4.35,4.37,2.63,408,0.31,Premium,G,SI2,Antwerp
11739,58.5,61.0,6.71,6.59,3.89,4278,1.07,Premium,G,SI2,Antwerp
11740,58.9,59.0,5.73,5.7,3.37,1636,0.7,Premium,G,SI2,Antwerp
11741,60.6,61.0,5.83,5.75,3.51,1588,0.72,Premium,G,SI2,Antwerp
11742,62.0,59.0,5.62,5.58,3.47,1966,0.7,Premium,G,SI2,Antwerp
11743,61.7,58.0,7.04,7.1,4.36,6464,1.34,Premium,G,SI2,Antwerp
11744,61.6,59.0,4.35,4.38,2.69,421,0.32,Premium,G,SI2,Antwerp
11745,62.6,58.0,6.01,5.98,3.75,2573,0.84,Premium,G,SI2,Antwerp
11746,60.0,61.0,6.78,6.71,4.05,4518,1.13,Premium,G,SI2,Antwerp
11747,62.8,52.0,7.31,7.27,4.58,5421,1.46,Premium,G,SI2,Antwerp
11748,62.5,58.0,6.42,6.34,3.99,3656,1.02,Premium,G,SI2,Antwerp
11749,62.6,61.0,6.73,6.68,4.2,4250,1.2,Premium,G,SI2,Antwerp
11750,61.2,58.0,5.99,5.96,3.64,1996,0.77,Premium,G,SI2,Antwerp
11751,60.7,62.0,8.48,8.42,5.13,15970,2.21,Premium,G,SI2,Antwerp
11752,62.5,56.0,5.68,5.71,3.56,2079,0.72,Very Good,G,SI2,Antwerp
11753,61.3,58.0,5.73,5.75,3.52,2081,0.71,Very Good,G,SI2,Antwerp
11754,62.4,56.0,5.87,5.92,3.68,2482,0.79,Very Good,G,SI2,Antwerp
11755,61.3,56.2,4.87,4.89,2.99,729,0.43,Very Good,G,SI2,Antwerp
11756,59.7,61.0,4.95,5.0,2.97,764,0.45,Very Good,G,SI2,Antwerp
11757,63.3,56.0,6.38,6.29,4.01,3920,1.0,Very Good,G,SI2,Antwerp
11758,63.2,58.0,6.05,6.1,3.84,3787,0.9,Very Good,G,SI2,Antwerp
11759,63.1,59.0,4.7,4.65,2.95,765,0.4,Very Good,G,SI2,Antwerp
11760,63.4,61.0,6.95,7.03,4.43,6781,1.37,Very Good,G,SI2,Antwerp
11761,59.5,59.0,6.79,6.85,4.06,4935,1.14,Very Good,G,SI2,Antwerp
11762,63.2,58.0,7.25,7.19,4.56,7098,1.5,Very Good,G,SI2,Antwerp
11763,62.5,57.0,7.54,7.57,4.72,9556,1.63,Very Good,G,SI2,Antwerp
11764,61.6,57.0,6.02,6.06,3.72,2725,0.83,Very Good,G,SI2,Antwerp
11765,58.2,63.0,5.82,5.79,3.38,1790,0.7,Very Good,G,SI2,Antwerp
11766,63.1,59.0,6.11,6.16,3.87,3353,0.9,Very Good,G,SI2,Antwerp
11767,62.0,60.0,6.78,6.76,4.2,5698,1.2,Very Good,G,SI2,Antwerp
11768,62.8,56.0,6.48,6.6,4.11,4685,1.08,Very Good,G,SI2,Antwerp
11769,63.1,55.0,6.16,6.13,3.88,3452,0.9,Very Good,G,SI2,Antwerp
11770,63.0,56.0,4.32,4.35,2.73,421,0.32,Very Good,G,SI2,Antwerp
11771,62.9,55.0,4.41,4.46,2.79,434,0.33,Very Good,G,SI2,Antwerp
11772,58.5,62.0,7.4,7.44,4.34,8580,1.5,Very Good,G,SI2,Antwerp
11773,62.3,58.0,6.15,6.2,3.85,3398,0.9,Very Good,G,SI2,Antwerp
11774,62.9,55.0,5.99,6.12,3.8,2584,0.84,Very Good,G,SI2,Antwerp
11775,63.3,58.0,5.26,5.29,3.34,1117,0.58,Very Good,G,SI2,Antwerp
11776,63.3,58.0,8.01,8.05,5.08,15563,2.01,Very Good,G,SI2,Antwerp
11777,64.4,57.0,5.93,5.86,3.8,2386,0.83,Fair,G,SI2,Antwerp
11778,64.9,59.0,7.85,7.99,5.14,14687,2.03,Fair,G,SI2,Antwerp
11779,65.6,61.0,5.46,5.37,3.55,1994,0.71,Fair,G,SI2,Antwerp
11780,63.7,56.0,6.26,6.34,4.01,4211,1.01,Good,G,SI2,Antwerp
11781,59.2,65.0,6.35,6.41,3.78,4047,1.01,Good,G,SI2,Antwerp
11782,63.6,58.0,6.31,6.37,4.03,3626,1.01,Good,G,SI2,Antwerp
11783,63.6,56.0,6.14,6.09,3.89,3610,0.91,Good,G,SI2,Antwerp
11784,59.7,63.0,6.43,6.5,3.86,3860,1.0,Good,G,SI2,Antwerp
11785,63.8,56.0,5.65,5.6,3.59,1960,0.71,Good,G,SI2,Antwerp
11786,63.7,54.0,4.23,4.25,2.7,394,0.3,Good,G,SI2,Antwerp
11787,63.8,56.0,6.13,6.16,3.92,3303,0.9,Good,G,SI2,Antwerp
11788,63.8,57.0,7.73,7.62,4.9,9071,1.78,Good,G,SI2,Antwerp
11789,63.6,57.0,6.78,6.73,4.29,4679,1.28,Good,G,SI2,Antwerp
11790,60.6,56.0,4.35,4.4,2.65,405,0.3,Ideal,G,SI2,Antwerp
11791,61.7,57.0,7.44,7.41,4.58,7240,1.53,Ideal,G,SI2,Antwerp
11792,61.8,55.0,5.27,5.32,3.27,1228,0.55,Ideal,G,SI2,Antwerp
11793,62.2,55.0,7.9,7.94,4.93,12700,1.91,Ideal,G,SI2,Antwerp
11794,62.5,55.0,4.37,4.4,2.74,421,0.32,Ideal,G,SI2,Antwerp
11795,63.0,55.0,5.14,5.12,3.23,1151,0.52,Ideal,G,SI2,Antwerp
11796,62.3,56.0,6.53,6.57,4.08,4489,1.08,Ideal,G,SI2,Antwerp
11797,58.8,60.0,7.01,7.08,4.14,6005,1.23,Ideal,G,SI2,Antwerp
11798,61.6,56.0,8.11,8.16,5.01,18017,2.05,Ideal,G,SI2,Antwerp
11799,62.4,56.0,6.67,6.63,4.15,4798,1.12,Ideal,G,SI2,Antwerp
11800,61.3,58.0,5.67,5.69,3.48,2234,0.7,Ideal,G,SI2,Antwerp
11801,62.9,57.0,6.98,6.94,4.38,6409,1.32,Ideal,G,SI2,Antwerp
11802,61.4,56.0,5.27,5.29,3.24,1192,0.54,Ideal,G,SI2,Antwerp
11803,62.8,59.0,7.62,7.55,4.76,10268,1.72,Ideal,G,SI2,Antwerp
11804,61.7,55.0,4.46,4.48,2.76,463,0.33,Ideal,G,SI2,Antwerp
11805,61.7,56.0,4.64,4.67,2.87,587,0.38,Ideal,G,SI2,Antwerp
11806,61.4,56.0,6.52,6.47,3.99,4255,1.02,Ideal,G,SI2,Antwerp
11807,62.1,57.0,5.3,5.23,3.27,1240,0.55,Ideal,G,SI2,Antwerp
11808,62.8,57.0,4.58,4.59,2.88,566,0.38,Ideal,G,SI2,Antwerp
11809,62.3,56.0,6.39,6.35,3.97,3204,1.02,Ideal,G,SI2,Antwerp
11810,61.7,56.0,4.79,4.81,2.96,648,0.41,Ideal,G,SI2,Antwerp
11811,61.9,57.0,7.43,7.38,4.58,7108,1.52,Ideal,G,SI2,Antwerp
11812,61.6,57.0,6.91,6.98,4.28,5259,1.25,Ideal,G,SI2,Antwerp
11813,61.6,54.0,5.35,5.37,3.3,1193,0.57,Ideal,G,SI2,Antwerp
11814,61.7,57.0,6.55,6.59,4.05,4421,1.07,Ideal,G,SI2,Antwerp
11815,62.3,55.0,4.14,4.18,2.59,361,0.27,Ideal,G,SI2,Antwerp
11816,62.8,54.0,6.51,6.46,4.07,4557,1.03,Ideal,G,SI2,Antwerp
11817,61.6,54.0,6.4,6.45,3.96,4560,1.01,Ideal,G,SI2,Antwerp
11818,60.6,56.0,5.44,5.46,3.3,1258,0.59,Ideal,G,SI2,Antwerp
11819,62.1,57.0,6.56,6.58,4.08,4733,1.08,Ideal,G,SI2,Antwerp
11820,62.0,57.0,6.1,6.02,3.76,2913,0.85,Ideal,G,SI2,Antwerp
11821,62.3,54.0,4.57,4.61,2.86,505,0.36,Ideal,G,SI2,Antwerp
11822,60.7,56.0,5.13,5.18,3.13,1180,0.5,Ideal,G,SI2,Antwerp
11823,59.9,57.0,8.54,8.49,5.1,14691,2.2,Ideal,G,SI2,Antwerp
11824,62.4,56.0,6.7,6.74,4.19,4877,1.15,Ideal,G,SI2,Antwerp
11825,61.7,57.0,6.57,6.62,4.07,4733,1.09,Ideal,G,SI2,Antwerp
11826,62.6,53.0,7.55,7.49,4.71,10680,1.63,Ideal,G,SI2,Antwerp
